generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1769079599-0fmjJSyz5A8i0qacsLQV,2026-01-22 10:59:59.825,0.070588,,,0,0,40088,31,31,0,openai/gpt-5.2-codex-20260114,OpenAI,standard,true,true,,,,5040,4837,doc-spawner,Natterbox AI
gen-1769079597-Vd9ATrnflbinPhQp3VdY,2026-01-22 10:59:57.124,0.225636,,,0,0,128855,10,0,0,openai/gpt-5.2-codex-20260114,OpenAI,standard,true,true,,,,7560,4928,doc-spawner,Natterbox AI
gen-1769079595-Q0I3aEFrWStXWb37sdPv,2026-01-22 10:59:55.172,0.012237,,-0.081648,0,0.012237,53449,25,0,51840,openai/gpt-5.2-codex-20260114,OpenAI,standard,false,true,,completed,tool_calls,4512,1323,doc-spawner,Natterbox AI
gen-1769079590-b8ZgEKr90G4ch7pr0VHv,2026-01-22 10:59:50.463,0.012426,,-0.081648,0,0.012426,53549,26,0,51840,openai/gpt-5.2-codex-20260114,OpenAI,standard,false,true,,completed,tool_calls,4534,1933,doc-spawner,Natterbox AI
gen-1769079584-krIyX0gVh1twFJ2oPILq,2026-01-22 10:59:44.764,0.070967,,,0,0,35649,613,156,0,openai/gpt-5.2-codex-20260114,OpenAI,standard,true,true,,,,20160,9583,doc-spawner,Natterbox AI
gen-1769079581-LTrsOUuNrT1VCkkZzkBx,2026-01-22 10:59:41.894,0.011602,,-0.081648,0,0.011602,53062,28,0,51840,openai/gpt-5.2-codex-20260114,OpenAI,standard,false,true,,completed,tool_calls,8074,2914,doc-spawner,Natterbox AI
gen-1769079576-JGi2No6Hqrfav4fw9iVz,2026-01-22 10:59:36.858,0.038553,,-0.281635,0,0.038553,181221,218,192,178816,openai/gpt-5.2-codex-20260114,OpenAI,standard,false,true,,completed,tool_calls,19862,14989,doc-spawner,Natterbox AI
gen-1769079572-hu9c7S0usUHDn2LHeqsJ,2026-01-22 10:59:32.227,0.047909,,-0.049392,0,0.047909,53345,282,256,31360,openai/gpt-5.2-codex-20260114,OpenAI,standard,false,true,,completed,tool_calls,9510,7194,doc-spawner,Natterbox AI
gen-1769079567-eiOW658cgPLHwCmSWznX,2026-01-22 10:59:27.815,0.009868,,-0.01008,0,0.009868,6615,598,256,6400,openai/gpt-5.2-codex-20260114,OpenAI,standard,false,true,,completed,tool_calls,16438,10218,doc-spawner,Natterbox AI
gen-1769079566-EMEG7fxfTpCtbdUCzGe8,2026-01-22 10:59:26.494,0.011137,,-0.081648,0,0.011137,52796,28,0,51840,openai/gpt-5.2-codex-20260114,OpenAI,standard,false,true,,completed,tool_calls,5578,1960,doc-spawner,Natterbox AI
gen-1769079564-POtQP08lnofbTOeKh7TQ,2026-01-22 10:59:24.691,0.009216,,-0.060681,0,0.009216,39470,59,0,38528,openai/gpt-5.2-codex-20260114,OpenAI,standard,false,true,,completed,tool_calls,2985,1433,doc-spawner,Natterbox AI
gen-1769079562-ZAs7GXwCTaBqpbk669Bm,2026-01-22 10:59:22.964,0.011473,,-0.081648,0,0.011473,53012,25,0,51840,openai/gpt-5.2-codex-20260114,OpenAI,standard,false,true,,completed,tool_calls,3374,1513,doc-spawner,Natterbox AI
gen-1769079562-2p2kjZc9sJr7G8zs52Ms,2026-01-22 10:59:22.452,0.035076,,-0.281635,0,0.035076,180778,25,0,178816,openai/gpt-5.2-codex-20260114,OpenAI,standard,false,true,,completed,tool_calls,14156,5792,doc-spawner,Natterbox AI
gen-1769079561-9LuobV9SyZcIgzxxj0pi,2026-01-22 10:59:21.990,0.010292,,-0.059068,0,0.010292,39155,60,0,37504,openai/gpt-5.2-codex-20260114,OpenAI,standard,false,true,,completed,tool_calls,2557,1079,doc-spawner,Natterbox AI
gen-1769079559-qdwfvlmLkarsQAOz7zHn,2026-01-22 10:59:19.106,0.008937,,-0.06048,0,0.008937,39187,60,0,38400,openai/gpt-5.2-codex-20260114,OpenAI,standard,false,true,,completed,tool_calls,2757,1086,doc-spawner,Natterbox AI
gen-1769079555-TJVi9BOnNVV0LBmFz99J,2026-01-22 10:59:15.151,0.008739,,-0.060278,0,0.008739,38967,59,0,38272,openai/gpt-5.2-codex-20260114,OpenAI,standard,false,true,,completed,tool_calls,3759,1161,doc-spawner,Natterbox AI
gen-1769079554-RZEtrz0rcsCEbR07fxsq,2026-01-22 10:59:14.870,0.015765,,-0.080035,0,0.015765,52991,219,192,50816,openai/gpt-5.2-codex-20260114,OpenAI,standard,false,true,,completed,tool_calls,7838,6947,doc-spawner,Natterbox AI
gen-1769079552-zNkbXizzYn30SZfkqEms,2026-01-22 10:59:12.645,0.009412,,-0.059068,0,0.009412,38652,60,0,37504,openai/gpt-5.2-codex-20260114,OpenAI,standard,false,true,,completed,tool_calls,2365,1003,doc-spawner,Natterbox AI
gen-1769079548-WWODg9vVelMYwuEp70A5,2026-01-22 10:59:08.916,0.035512,,-0.281635,0,0.035512,181027,25,0,178816,openai/gpt-5.2-codex-20260114,OpenAI,standard,false,true,,completed,tool_calls,13272,5194,doc-spawner,Natterbox AI
gen-1769079547-e59O9XHt3h0O3E9sSAW3,2026-01-22 10:59:07.853,0.013196,,-0.057456,0,0.013196,39365,126,64,36480,openai/gpt-5.2-codex-20260114,OpenAI,standard,false,true,,completed,tool_calls,4586,3559,doc-spawner,Natterbox AI
gen-1769079546-2aWxbCUbDRBkNtHvLBjd,2026-01-22 10:59:06.805,0.016775,,-0.081648,0,0.016775,52938,413,384,51840,openai/gpt-5.2-codex-20260114,OpenAI,standard,false,true,,completed,tool_calls,7878,6948,doc-spawner,Natterbox AI
gen-1769079544-Z5R5QWNo4lfpNKkeHedN,2026-01-22 10:59:04.987,0.009539,,-0.059068,0,0.009539,39005,25,0,37504,openai/gpt-5.2-codex-20260114,OpenAI,standard,false,true,,completed,tool_calls,2731,1298,doc-spawner,Natterbox AI
gen-1769079541-cMYHVFCykQsLlaCQHeaf,2026-01-22 10:59:01.067,0.009842,,-0.059068,0,0.009842,39170,26,0,37504,openai/gpt-5.2-codex-20260114,OpenAI,standard,false,true,,completed,tool_calls,3779,2350,doc-spawner,Natterbox AI
gen-1769079540-HTELvdkiiWSLs0m2Wc5T,2026-01-22 10:59:00.467,0.012298,,-0.080035,0,0.012298,52578,23,0,50816,openai/gpt-5.2-codex-20260114,OpenAI,standard,false,true,,completed,tool_calls,6193,1478,doc-spawner,Natterbox AI
gen-1769079535-GMxvPMzIrYOlMNmYcGrr,2026-01-22 10:58:55.868,0.012399,,-0.080035,0,0.012399,52612,26,0,50816,openai/gpt-5.2-codex-20260114,OpenAI,standard,false,true,,completed,tool_calls,4431,2610,doc-spawner,Natterbox AI
gen-1769079534-eG1VKgWfUTjCKhdrGjBt,2026-01-22 10:58:54.660,0.034735,,-0.281635,0,0.034735,180583,25,0,178816,openai/gpt-5.2-codex-20260114,OpenAI,standard,false,true,,completed,tool_calls,13842,6488,doc-spawner,Natterbox AI
gen-1769079533-escEL315MysK8zo8HQS5,2026-01-22 10:58:53.320,0.012411,,-0.059472,0,0.012411,38812,283,256,37760,openai/gpt-5.2-codex-20260114,OpenAI,standard,false,true,,completed,tool_calls,7553,6814,doc-spawner,Natterbox AI
gen-1769079531-gLklInqKN00OrpWMUpqy,2026-01-22 10:58:51.068,0.009501,,-0.059068,0,0.009501,38975,26,0,37504,openai/gpt-5.2-codex-20260114,OpenAI,standard,false,true,,completed,tool_calls,2050,1169,doc-spawner,Natterbox AI
gen-1769079529-lT19CToYONHsRfI3TLiY,2026-01-22 10:58:49.721,0.012699,,-0.080035,0,0.012699,52263,91,64,50816,openai/gpt-5.2-codex-20260114,OpenAI,standard,false,true,,completed,tool_calls,5976,4489,doc-spawner,Natterbox AI
